127.0.0.1 - - [15/Jul/2024:14:03:04 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:03:05 +0900] "GET /BackEndProject/member2/login.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:03:05 +0900] "GET /BackEndProject/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:03:05 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:03:09 +0900] "POST /BackEndProject/member2/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:03:09 +0900] "GET /BackEndProject/member2/main.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:03:09 +0900] "GET /BackEndProject/css/table.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:03:12 +0900] "GET /BackEndProject/member2/list.jsp HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:03:22 +0900] "GET /BackEndProject/member2/main.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:47:56 +0900] "GET /BackEndProject/board/write.jsp HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:48:02 +0900] "GET /BackEndProject/member2/main.jsp HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:48:05 +0900] "GET /BackEndProject/member2/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:48:05 +0900] "GET /BackEndProject/member2/login.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:48:08 +0900] "POST /BackEndProject/member2/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:48:08 +0900] "GET /BackEndProject/member2/main.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:48:10 +0900] "GET /BackEndProject/board2/write.jsp HTTP/1.1" 200 917
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:48:26 +0900] "POST /BackEndProject/board2/writePro.jsp HTTP/1.1" 500 4207
0:0:0:0:0:0:0:1 - - [15/Jul/2024:14:49:49 +0900] "POST /BackEndProject/board2/writePro.jsp HTTP/1.1" 500 4207
