127.0.0.1 - - [17/Jun/2024:13:57:37 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [17/Jun/2024:13:57:38 +0900] "GET /BackEndProject/jsp4/insert.jsp HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [17/Jun/2024:13:57:38 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [17/Jun/2024:13:58:38 +0900] "GET /BackEndProject/jsp4/insert.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [17/Jun/2024:13:58:48 +0900] "GET /BackEndProject/jsp4/insertPro2.jsp?num=7&name=%EC%8B%AC%EC%8B%AC%EC%9D%B4 HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [17/Jun/2024:13:59:30 +0900] "GET /BackEndProject/jsp4/insertPro2.jsp?num=1002&name=%EC%8B%AC%EC%8B%AC%EC%9D%B4 HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:06:47 +0900] "GET /BackEndProject/jsp4/select.jsp HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:07:02 +0900] "GET /BackEndProject/jsp4/select.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:07:54 +0900] "GET /BackEndProject/jsp4/select.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:08:33 +0900] "GET /BackEndProject/jsp4/select.jsp HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:19:50 +0900] "GET /BackEndProject/jsp4/select.jsp HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:31:49 +0900] "GET /BackEndProject/jsp4/update.jsp HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:31:51 +0900] "GET /BackEndProject/jsp4/updatePro.jsp?num=&name= HTTP/1.1" 500 2764
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:41:34 +0900] "GET /BackEndProject/jsp4/select.jsp HTTP/1.1" 200 926
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:41:38 +0900] "GET /BackEndProject/jsp4/selectPro.jsp?num=1&name= HTTP/1.1" 500 3895
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:41:46 +0900] "GET /BackEndProject/jsp4/selectPro.jsp?num=1&name=%EC%9A%B0%EB%B3%91%EC%84%AD HTTP/1.1" 500 3895
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:45:47 +0900] "GET /BackEndProject/jsp4/selectPro.jsp?num=1&name=%EC%9A%B0%EB%B3%91%EC%84%AD HTTP/1.1" 500 3948
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:46:29 +0900] "GET /BackEndProject/jsp4/selectPro.jsp?num=1&name=%EC%9A%B0%EB%B3%91%EC%84%AD HTTP/1.1" 500 3948
0:0:0:0:0:0:0:1 - - [17/Jun/2024:14:47:28 +0900] "GET /BackEndProject/jsp4/selectPro.jsp?num=&name=%EC%9A%B0%EB%B3%91%EC%84%AD HTTP/1.1" 500 2710
